,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
118,Darius Garland,0.527027027027027,26.1,0.359447004608295,2.2435897435897436,48.5,4.96
119,Darren Collison,1.0,100.0,1.0769230769230769,1.4285714285714286,100.0,2.93
120,David Duke Jr.,0.8666666666666667,56.7,0.5531914893617021,4.6,41.2,1.87
121,David Johnson,,0.0,,,0.0,3.0
122,David Nwaba,0.8148148148148149,54.3,0.5882352941176471,17.0,20.8,1.34
123,Davion Mitchell,0.6136363636363636,23.1,0.39999999999999997,1.9019607843137254,51.2,4.52
124,Davis Bertans,0.5714285714285715,86.4,0.14285714285714288,1.8,57.1,0.52
125,Davon Reed,0.5454545454545454,59.1,0.3181818181818181,1.1,45.5,1.43
126,Day'Ron Sharpe,0.8666666666666667,59.5,0.8387096774193549,inf,25.0,0.46
127,De'Aaron Fox,0.4528301886792453,21.5,0.5000000000000001,1.9195402298850575,26.7,4.04
128,De'Andre Hunter,0.5599999999999999,66.1,0.3880597014925373,2.0,21.7,1.31
129,De'Anthony Melton,0.5428571428571428,47.2,0.3148148148148148,1.769230769230769,45.5,2.16
130,DeAndre Jordan,0.9333333333333332,79.3,0.8837209302325582,,0.0,0.2
131,DeAndre' Bembry,0.8181818181818181,72.5,0.7450980392156863,18.0,32.0,1.23
132,DeJon Jarreau,,0.0,,inf,100.0,3.0
133,DeMar DeRozan,0.4534883720930233,21.7,0.35842293906810035,1.2295081967213115,35.7,4.6
134,DeMarcus Cousins,0.75,59.8,0.5111111111111111,10.0,23.4,0.64
135,Dean Wade,0.75,56.3,0.3018867924528302,2.9999999999999996,50.0,0.46
136,Deandre Ayton,0.4948453608247423,80.9,0.7674418604651163,1.0,11.1,0.41
137,Deividas Sirvydis,0.7,0.0,0.0,1.0,0.0,0.69
138,Dejounte Murray,0.48913043478260876,18.9,0.4739336492890995,2.1309523809523805,45.1,4.67
139,Delon Wright,0.6470588235294118,44.9,0.409090909090909,5.142857142857143,54.8,3.96
