,Player,Restricted Area Percentage
242,Jaden McDaniels,0.6842105263157895
243,Jaden Springer,0.0
244,Jae Crowder,0.4285714285714286
245,Jae'Sean Tate,0.7272727272727273
246,Jahmi'us Ramsey,0.6666666666666667
247,Jaime Echenique,
248,Jake Layman,0.7777777777777778
249,Jakob Poeltl,0.5591397849462365
250,Jalen Brunson,0.393939393939394
251,Jalen Green,0.793103448275862
252,Jalen Johnson,0.8333333333333334
253,Jalen McDaniels,0.64
254,Jalen Smith,0.6410256410256411
255,Jalen Suggs,0.6557377049180328
256,James Bouknight,0.6774193548387097
257,James Ennis III,1.0
258,James Harden,0.5657894736842105
259,James Johnson,0.7941176470588235
260,Jamorko Pickett,0.25
261,Jared Butler,0.3076923076923077
262,Jared Harper,0.5555555555555556
263,Jaren Jackson Jr.,0.4810126582278481
264,Jarred Vanderbilt,0.8297872340425532
265,Jarrett Allen,0.7444444444444445
266,Jarrett Culver,0.6111111111111112
267,Jarron Cumberland,1.0
268,Javin DeLaurier,
269,Javonte Green,0.8235294117647058
270,Javonte Smart,0.5
271,Jaxson Hayes,0.717391304347826
272,Jay Huff,0.0
273,Jay Scrubb,0.6
274,Jaylen Brown,0.5632183908045978
275,Jaylen Hoard,0.5862068965517242
276,Jaylen Morris,0.7692307692307692
277,Jaylen Nowell,0.5151515151515151
278,Jaysean Paige,
279,Jayson Tatum,0.6511627906976744
280,Jeff Dowtin Jr.,0.46153846153846156
281,Jeff Green,0.6904761904761905
282,Jemerrio Jones,0.6666666666666666
283,Jerami Grant,0.6491228070175439
284,Jeremiah Robinson-Earl,0.7407407407407407
285,Jeremy Lamb,0.3181818181818181
286,Jericho Sims,0.923076923076923
287,Jevon Carter,0.5
288,Jimmy Butler,0.5934065934065934
289,Jock Landale,0.8
290,Joe Harris,0.5714285714285714
291,Joe Ingles,0.46153846153846156
292,Joe Johnson,
293,Joe Wieskamp,0.5
294,Joel Ayayi,0.25
295,Joel Embiid,0.5588235294117647
296,John Collins,0.676470588235294
297,John Konchar,0.7647058823529411
298,Jon Teske,
299,Jonas Valanciunas,0.5555555555555556
300,Jonathan Kuminga,0.6744186046511628
301,Jordan Bell,
302,Jordan Clarkson,0.3684210526315789
303,Jordan Goodwin,1.0
304,Jordan McLaughlin,0.6111111111111112
305,Jordan Nwora,0.6799999999999999
306,Jordan Poole,0.5714285714285714
307,Jordan Schakel,0.2727272727272727
